experiment;metric_accuracy;metric_f1_score;metric_fpr (false alarm rate);metric_fps;metric_precision;metric_recall (tpr);skip_proc.name;skip_proc.params.scale_factor;skip_proc.params.block_size_orig;skip_proc.params.block_ratio_th;skip_proc.params.motion.name;skip_proc.params.motion.params.diff_frame_th;skip_proc.params.motion.params.impact_plus_one;skip_proc.params.motion.params.mask_th;skip_proc.params.motion.params.max_val;skip_proc.params.motion.params.decay;skip_rate
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2f5de28ea4d5__20260331.203240_per_frame;0.9816965460777284;0.9542779326438904;0.0073503674939274;33.24802017211914;0.9702591896057128;0.938814640045166;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0;0.377301
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__2fdb8f0bccb3__20260331.203239_per_frame;0.9817941188812256;0.95453280210495;0.0073503674939274;29.62354850769043;0.9702739119529724;0.9392942786216736;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;35.0;1.0;0.27063400000000004
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__315e2972b28c__20260331.203240_per_frame;0.98207288980484;0.9552633166313172;0.0073678684420883;30.400691986083984;0.9702494740486144;0.9407331347465516;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0;0.275656
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__316b36ef713b__20260331.203239_per_frame;0.982100784778595;0.9553360342979432;0.0073678684420883;25.42686080932617;0.9702536463737488;0.94087016582489;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;25.0;1.0;0.119058
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__36b5e12e627b__20260331.203240_per_frame;0.9817104339599608;0.954317569732666;0.0073678684420883;36.61497116088867;0.970194697380066;0.9389516711235046;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;5.0;15.0;1.0;0.443875
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3a574c984184__20260331.203239_per_frame;0.9817941188812256;0.95453280210495;0.0073503674939274;29.917644500732425;0.9702739119529724;0.9392942786216736;motion_only_block_skip_proc;0.5;16.0;0.05;acc_motion_det.AccMotionDet;3.0;5.0;10.0;25.0;1.0;0.278561
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3c9afd49d2de__20260331.203240_per_frame;0.9797170162200928;0.9490813612937928;0.0073503674939274;35.951412200927734;0.9699570536613464;0.9290853142738342;motion_only_block_skip_proc;0.5;16.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;10.0;35.0;1.0;0.439307
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3cb97f9c73db__20260331.203244_per_frame;0.9811388850212096;0.9528226256370544;0.0073678684420883;33.72694396972656;0.970107913017273;0.9361425042152404;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;25.0;1.0;0.41172600000000004
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3d52681fb50b__20260331.203241_per_frame;0.9819613695144652;0.954972505569458;0.0073678684420883;34.516265869140625;0.9702326059341432;0.940185010433197;motion_only_block_skip_proc;0.5;32.0;0.1;acc_motion_det.AccMotionDet;3.0;5.0;5.0;35.0;1.0;0.390865
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__3dde7a0a8d63__20260331.203244_per_frame;0.981180727481842;0.9529321789741516;0.0073678684420883;33.59526443481445;0.970114290714264;0.9363480806350708;motion_only_block_skip_proc;1.0;32.0;0.1;acc_motion_det.AccMotionDet;5.0;5.0;5.0;35.0;1.0;0.40826
1GPU_SV__ds_UFireIndoorVal__mt_temp_method_motion_block__411524d7a261__20260331.203241_per_frame;0.9790896773338318;0.9474237561225892;0.0073503674939274;39.987003326416016;0.9698600769042968;0.9260020852088928;motion_only_block_skip_proc;0.5;32.0;0.05;acc_motion_det.AccMotionDet;5.0;5.0;10.0;25.0;1.0;0.514491
